#{"t_start": 1790107644.8235192, "env_id": "None"}
r,l,t
24.315139,80,135.919291
51.221035,80,136.734111
95.587712,80,137.542071
18.495804,80,138.578034
35.037759,80,139.357239
16.959664,80,140.27978
21.384237,80,141.122808
28.684773,80,141.940161
-0.544983,80,142.754145
58.932277,80,143.613939
77.243183,80,144.361446
10.47757,80,145.140705
67.383499,35,145.510545
8.030366,80,157.017344
33.617258,80,157.788134
26.396225,80,158.575227
16.205638,80,159.99527
11.22852,80,160.989384
82.065475,80,161.807199
23.879796,80,162.660785
127.979409,59,163.241993
118.984998,49,163.7647
9.730009,80,164.526682
21.00026,80,165.274588
13.938345,80,166.060408
15.079653,80,166.825499
85.210334,47,167.347335
156.6345,80,168.196445
20.757282,80,169.054671
22.138269,80,169.799489
23.782283,80,171.170433
17.416267,80,172.041984
12.52914,80,172.790564
50.866174,80,173.533252
30.235563,80,174.295357
10.369873,80,175.130441
66.167638,37,175.593087
26.098012,80,176.396542
29.482533,80,177.302196
47.785648,80,178.033592
97.997678,68,178.698996
35.424678,80,179.486185
14.19804,80,180.231333
15.705829,80,181.243232
30.17297,80,182.036406
5.523786,80,182.775132
42.689876,80,183.683079
24.27808,80,184.442549
45.06289,80,185.240429
63.311053,80,186.016552
0.378304,80,186.761398
55.439789,80,187.537154
14.261134,80,188.297558
12.785694,80,189.065704
139.432391,80,189.904431
9.268287,80,190.684891
63.727139,80,191.757764
83.275697,80,192.643324
180.799155,80,193.492564
25.894305,80,194.273355
39.241891,80,195.047196
11.387375,80,195.806331
4.888062,80,196.54583
135.549652,80,197.287539
3.685821,80,198.283742
49.596967,80,199.053563
27.050997,80,199.809751
8.989605,80,200.517779
31.678364,80,201.356421
61.154637,80,202.413423
21.428525,80,203.264926
14.669663,80,204.088525
22.578176,80,204.79516
18.713862,80,205.531752
5.366635,80,206.299299
18.547099,80,207.112718
14.168389,80,207.889649
14.479886,80,221.637482
152.341281,80,222.407667
15.353344,80,223.168203
5.022722,80,223.945323
53.668951,80,224.714006
35.578183,80,225.833771
21.41959,80,226.733014
13.960025,80,227.397853
28.843367,80,228.143661
37.584328,80,228.893439
38.836664,80,229.639899
19.297261,80,230.363644
29.250723,80,231.076077
11.283733,80,231.751127
64.649671,80,232.519464
29.273888,80,233.313365
17.616144,80,234.122834
44.190251,80,234.868898
31.180487,80,235.911283
32.840098,80,236.71699
23.118476,80,237.445527
7.704283,80,238.304502
23.123901,80,239.149422
14.997543,80,239.9199
15.95759,80,240.635441
83.898311,80,241.519203
51.207567,80,242.296818
143.867322,54,242.90232
40.863484,80,243.785076
17.180849,80,244.520357
33.897218,80,245.377841
0.855039,80,246.397267
195.503901,78,247.180917
139.880596,56,247.756795
33.440087,80,248.548824
26.655114,80,249.347206
168.55077,80,250.141905
36.670077,80,250.94418
8.743464,80,251.682809
0.449961,80,252.584566
33.749376,80,253.419935
67.060536,80,254.201681
41.744668,80,255.028257
70.359984,80,255.874178
13.52828,80,256.849706
35.800839,80,257.651758
17.673352,80,258.358458
116.099015,64,258.98255
14.110982,80,259.827003
9.849022,80,260.620962
13.4249,80,261.415071
106.215756,80,262.313752
75.803918,34,262.714629
128.760859,69,263.390926
35.995592,80,264.210907
16.688458,80,265.030205
15.415368,80,265.844848
94.62946,80,267.302339
186.679895,80,268.20036
17.436691,80,268.9609
189.29454,80,269.7929
3.658826,80,270.497116
4.868958,80,271.239093
20.616172,80,272.072528
38.515983,80,288.445979
22.13546,80,289.245162
27.713547,80,290.02299
26.855936,80,290.808181
23.00737,80,291.551848
45.689243,80,292.364395
37.654716,80,293.353429
53.127602,80,294.17645
34.529187,80,295.001472
6.379331,80,295.783895
24.990003,80,296.60571
53.745999,80,297.495013
23.007102,80,298.277241
8.736745,80,299.166662
24.762338,80,299.940848
26.329514,80,300.731718
29.374368,80,301.487664
65.790372,80,302.237978
7.772726,80,303.035657
13.771877,80,304.094038
37.12132,80,304.848015
21.352735,80,305.618889
1.737912,80,306.381322
50.160769,80,307.162857
34.721746,80,307.89929
40.853904,80,308.641165
126.306797,80,309.484694
39.123353,80,310.273919
18.700568,80,311.083798
24.742991,80,311.864335
2.976458,80,312.635653
68.945254,80,313.453459
16.604495,80,314.528263
128.983453,61,315.165454
24.251735,80,315.945185
28.027741,80,316.775776
7.854019,80,317.626143
50.320877,80,318.488088
33.346597,80,319.203808
213.163898,80,320.016687
37.709221,80,320.740277
3.538522,80,321.572428
51.804774,80,322.393373
202.29118,80,323.177495
26.019325,80,324.001516
184.129028,80,325.122464
5.680071,80,325.889739
42.338202,80,326.742085
20.376022,80,327.482369
32.798288,80,328.273398
18.269802,80,329.049701
14.914851,80,329.75538
66.198457,80,330.745625
4.086138,80,331.480975
30.401737,80,332.389172
38.081315,80,333.197412
39.590982,80,334.024629
17.980588,80,334.862497
3.544957,80,335.905375
12.027326,80,336.677643
208.976044,80,337.381895
145.574016,63,337.998386
6.084239,80,338.753856
18.769057,80,355.731522
37.987311,80,356.632941
14.981493,80,357.521047
22.239426,80,358.301467
47.649305,80,359.101353
13.648619,80,359.900906
18.818493,80,360.661443
8.337483,80,361.476142
